date,Open,High,Low,Close,Volume
2016-01-25,11.65,11.65,11.65,11.65,0.0
2016-01-22,11.65,11.65,11.65,11.65,0.0
2016-01-21,11.65,11.65,11.65,11.65,0.0
2016-01-20,11.65,11.65,11.65,11.65,0.0
2016-01-19,11.65,11.65,11.65,11.65,0.0
2016-01-15,11.65,11.65,11.65,11.65,0.0
2016-01-14,11.7103,11.8215,11.6901,11.65,6195324.0
2016-01-13,11.5501,11.6197,11.5005,11.59,2358490.0
2016-01-12,11.65,11.7052,11.5798,11.63,1946025.0
2016-01-11,11.6711,11.8138,11.6405,11.56,6033066.0
2016-01-08,11.36,11.4597,11.3301,11.38,3291816.0
2016-01-07,11.4701,11.5708,11.4602,11.43,2727678.0
2016-01-06,11.55,11.6002,11.5199,11.53,1505654.0
2016-01-05,11.58,11.6401,11.5449,11.57,5626487.0
2016-01-04,11.57,11.5999,11.4803,11.59,4437233.0
